"text","type","ave","se","n","duration"
"Change >=0.5","Jbeta",0.600209538870275,0.000361031802312238,589418,NA
"Change >=0.5","Jbeta",0.535972304373889,0.00145811582569737,39169,1
"Change >=0.5","Jbeta",0.572356104802885,0.00182788485356306,22423,10
"Change >=0.5","Jbeta",0.640255661486054,0.00271322904222792,9958,20
"Cool <= -0.5","Jbeta",0.606628290215409,0.000655177948039061,188968,NA
"Stable <=0.05","Jbeta",0.605197521571893,0.000978514916433141,83940,NA
"Stable <=0.05","Jbeta",0.562529441057722,0.00270964354136341,11618,1
"Stable <=0.05","Jbeta",0.639993239200979,0.0046113190872401,3774,10
"Stable <=0.05","Jbeta",0.593418058624476,0.0105802352671913,698,20
"Warm >= 0.5","Jbeta",0.597180599916129,0.000432118938084734,400450,NA
"Change >=0.5","Jtu",0.44599405158535,0.000428178194442726,589418,NA
"Change >=0.5","Jtu",0.379738533542869,0.00165396006008309,39169,1
"Change >=0.5","Jtu",0.41618773617971,0.00213432026032213,22423,10
"Change >=0.5","Jtu",0.486578445747191,0.00325288150252696,9958,20
"Cool <= -0.5","Jtu",0.466261725116375,0.000779189127862739,188968,NA
"Stable <=0.05","Jtu",0.426268278237573,0.00123467277080284,83940,NA
"Stable <=0.05","Jtu",0.373123205124622,0.00332854975410842,11618,1
"Stable <=0.05","Jtu",0.469006848613671,0.00608226191710971,3774,10
"Stable <=0.05","Jtu",0.44780409461318,0.0123191172303438,698,20
"Warm >= 0.5","Jtu",0.436429956862386,0.000511158025817884,400450,NA
"Change >=0.5","Jne",0.14686063028482,0.000273290423481583,589418,NA
"Change >=0.5","Jne",0.147051967319902,0.00105937369685817,39169,1
"Change >=0.5","Jne",0.150001007710898,0.00140115574689777,22423,10
"Change >=0.5","Jne",0.145370277466619,0.00218789056241947,9958,20
"Cool <= -0.5","Jne",0.133555361144609,0.000459009875893317,188968,NA
"Stable <=0.05","Jne",0.172546118616021,0.000793170650788831,83940,NA
"Stable <=0.05","Jne",0.183643614133134,0.00219396648676148,11618,1
"Stable <=0.05","Jne",0.167164478167594,0.00368608888562709,3774,10
"Stable <=0.05","Jne",0.136015348532786,0.00752651484456619,698,20
"Warm >= 0.5","Jne",0.153139242093753,0.000338503351395974,400450,NA
"Change >=0.5","Horn",0.517944957137696,0.000498512064284773,573102,NA
"Change >=0.5","Horn",0.429431629231705,0.00195811351792155,38120,1
"Change >=0.5","Horn",0.481663890335114,0.00253242274053271,21867,10
"Change >=0.5","Horn",0.57687595106093,0.00376232530951574,9634,20
"Cool <= -0.5","Horn",0.526101461489771,0.000894614088387321,183776,NA
"Stable <=0.05","Horn",0.507572367503755,0.0013575413098936,81011,NA
"Stable <=0.05","Horn",0.434148947373383,0.00367748690239141,11137,1
"Stable <=0.05","Horn",0.546303119443258,0.00645891711316621,3634,10
"Stable <=0.05","Horn",0.549736569805998,0.0146317341696536,647,20
"Warm >= 0.5","Horn",0.514094791097393,0.000600047015171364,389326,NA
